Order ID,Order Date,Category,Product,Region,City,Customer Segment,Sales Channel,Quantity,Unit Price,Gross Sales,Discount %,Discount Amount,Net Sales,Profit
100026,2024-01-03,Apparel,Women's Hoodie,East,Kolkata,Consumer,Online,1,22.72,22.72,0.0,0.0,22.72,9.93
100025,2024-01-03,Sports & Outdoors,Bike Helmet,West,Ahmedabad,Consumer,Retail Store,2,33.95,67.9,0.0,0.0,67.9,25.75
100028,2024-01-03,Electronics,Webcam HD,South,Bangalore,Small Business,Online,2,193.46,386.92,0.0,0.0,386.92,89.28
100045,2024-01-04,Office Supplies,Ballpoint Pens (Box),West,Pune,Consumer,Online,2,42.03,84.06,0.0,0.0,84.06,23.9
100053,2024-01-04,Office Supplies,Printer Paper,North,Lucknow,Small Business,Retail Store,1,9.97,9.97,0.1,1.0,8.97,2.13
100052,2024-01-04,Apparel,Men's T-Shirt,South,Bangalore,Consumer,Retail Store,2,15.55,31.1,0.0,0.0,31.1,14.52
100051,2024-01-04,Home & Kitchen,Blender,North,Lucknow,Small Business,Online,1,60.44,60.44,0.0,0.0,60.44,26.82
100050,2024-01-04,Home & Kitchen,Vacuum Cleaner,East,Kolkata,Consumer,Online,1,81.91,81.91,0.0,0.0,81.91,36.16
100049,2024-01-04,Home & Kitchen,Air Fryer,West,Pune,Small Business,Online,1,74.43,74.43,0.1,7.44,66.99,29.95
100048,2024-01-04,Home & Kitchen,Air Fryer,East,Kolkata,Small Business,Online,2,79.09,158.18,0.05,7.91,150.27,52.03
100047,2024-01-04,Sports & Outdoors,Dumbbell Set,North,Delhi,Small Business,Marketplace,1,249.82,249.82,0.0,0.0,249.82,92.55
100044,2024-01-04,Apparel,Women's Hoodie,South,Bangalore,Consumer,Retail Store,2,113.68,227.36,0.1,22.74,204.62,76.09
100046,2024-01-04,Home & Kitchen,Storage Containers,North,Delhi,Enterprise,Retail Store,1,158.66,158.66,0.1,15.87,142.79,37.85
100042,2024-01-04,Apparel,Backpack,North,Lucknow,Small Business,Online,1,54.77,54.77,0.0,0.0,54.77,23.67
100043,2024-01-04,Sports & Outdoors,Dumbbell Set,East,Guwahati,Consumer,Online,3,246.14,738.42,0.0,0.0,738.42,175.53
100035,2024-01-04,Home & Kitchen,Cutting Board,West,Pune,Consumer,Online,1,77.83,77.83,0.0,0.0,77.83,29.91
100036,2024-01-04,Office Supplies,Sticky Notes Pack,North,Chandigarh,Consumer,Online,2,42.28,84.56,0.0,0.0,84.56,21.1
100037,2024-01-04,Electronics,Bluetooth Speaker,South,Bangalore,Small Business,Retail Store,4,135.6,542.4,0.0,0.0,542.4,118.85
100034,2024-01-04,Office Supplies,File Folders,South,Hyderabad,Consumer,Online,1,39.81,39.81,0.0,0.0,39.81,9.65
100039,2024-01-04,Apparel,Women's Hoodie,East,Kolkata,Consumer,Marketplace,1,17.35,17.35,0.0,0.0,17.35,6.9
100040,2024-01-04,Office Supplies,Ballpoint Pens (Box),East,Kolkata,Consumer,Retail Store,1,14.51,14.51,0.0,0.0,14.51,5.62
100041,2024-01-04,Office Supplies,Notebook Set,North,Lucknow,Consumer,Online,1,73.25,73.25,0.0,0.0,73.25,17.44
100038,2024-01-04,Electronics,Phone Charger,North,Delhi,Consumer,Retail Store,1,160.11,160.11,0.05,8.01,152.1,28.9
100054,2024-01-05,Home & Kitchen,Storage Containers,South,Hyderabad,Enterprise,Online,1,78.64,78.64,0.0,0.0,78.64,34.47
100055,2024-01-05,Office Supplies,File Folders,West,Pune,Small Business,Online,2,6.46,12.92,0.0,0.0,12.92,2.8
100056,2024-01-05,Home & Kitchen,Non-Stick Pan Set,West,Pune,Consumer,Retail Store,1,123.85,123.85,0.0,0.0,123.85,38.74
100057,2024-01-05,Electronics,Mechanical Keyboard,West,Mumbai,Small Business,Online,1,152.7,152.7,0.0,0.0,152.7,35.27
100058,2024-01-05,Electronics,Wireless Earbuds,North,Delhi,Enterprise,Online,3,108.95,326.85,0.15,49.03,277.82,97.16
100059,2024-01-05,Office Supplies,Ballpoint Pens (Box),West,Mumbai,Consumer,Marketplace,1,21.54,21.54,0.15,3.23,18.31,4.63
100069,2024-01-06,Electronics,Phone Charger,South,Hyderabad,Consumer,Online,1,208.74,208.74,0.0,0.0,208.74,62.09
100066,2024-01-06,Sports & Outdoors,Yoga Mat,North,Chandigarh,Small Business,Retail Store,2,109.35,218.7,0.0,0.0,218.7,59.01
100068,2024-01-06,Apparel,Sunglasses,North,Delhi,Consumer,Online,1,80.82,80.82,0.0,0.0,80.82,35.2
100065,2024-01-06,Office Supplies,Desk Organizer,North,Delhi,Consumer,Online,2,24.85,49.7,0.1,4.97,44.73,17.07
100067,2024-01-06,Sports & Outdoors,Jump Rope,South,Hyderabad,Consumer,Online,2,37.92,75.84,0.0,0.0,75.84,30.06
100063,2024-01-06,Sports & Outdoors,Fitness Tracker,South,Hyderabad,Small Business,Retail Store,2,140.99,281.98,0.05,14.1,267.88,72.07
100062,2024-01-06,Electronics,Webcam HD,North,Delhi,Consumer,Online,1,207.48,207.48,0.2,41.5,165.98,33.67
100061,2024-01-06,Sports & Outdoors,Dumbbell Set,West,Ahmedabad,Consumer,Online,3,135.06,405.18,0.0,0.0,405.18,137.85
100060,2024-01-06,Home & Kitchen,Storage Containers,West,Ahmedabad,Consumer,Retail Store,2,72.82,145.64,0.0,0.0,145.64,41.0
100064,2024-01-06,Apparel,Women's Hoodie,West,Ahmedabad,Small Business,Marketplace,1,34.87,34.87,0.0,0.0,34.87,16.63
100086,2024-01-07,Apparel,Men's T-Shirt,West,Ahmedabad,Consumer,Retail Store,3,95.57,286.71,0.0,0.0,286.71,107.49
100085,2024-01-07,Apparel,Backpack,West,Ahmedabad,Consumer,Retail Store,1,17.24,17.24,0.0,0.0,17.24,8.32
100084,2024-01-07,Electronics,Smartwatch,South,Chennai,Small Business,Online,1,160.3,160.3,0.1,16.03,144.27,26.01
100083,2024-01-07,Office Supplies,Printer Paper,South,Chennai,Consumer,Retail Store,1,13.06,13.06,0.0,0.0,13.06,4.96
100082,2024-01-07,Apparel,Backpack,East,Guwahati,Consumer,Retail Store,1,53.63,53.63,0.0,0.0,53.63,27.21
100081,2024-01-07,Office Supplies,Desk Lamp,North,Lucknow,Consumer,Online,1,86.74,86.74,0.0,0.0,86.74,21.95
100080,2024-01-07,Office Supplies,Ballpoint Pens (Box),West,Mumbai,Small Business,Retail Store,1,31.81,31.81,0.0,0.0,31.81,6.54
100079,2024-01-07,Electronics,Phone Charger,East,Guwahati,Consumer,Online,1,213.21,213.21,0.05,10.66,202.55,46.07
100078,2024-01-07,Home & Kitchen,Knife Set,West,Pune,Consumer,Online,1,14.02,14.02,0.0,0.0,14.02,4.05
100076,2024-01-07,Sports & Outdoors,Resistance Bands,East,Kolkata,Consumer,Retail Store,1,32.38,32.38,0.0,0.0,32.38,12.21
100075,2024-01-07,Sports & Outdoors,Camping Tent,West,Mumbai,Consumer,Online,2,216.83,433.66,0.0,0.0,433.66,158.69
100074,2024-01-07,Home & Kitchen,Coffee Maker,West,Pune,Consumer,Marketplace,1,159.84,159.84,0.0,0.0,159.84,40.75
100073,2024-01-07,Apparel,Baseball Cap,South,Bangalore,Small Business,Online,1,136.55,136.55,0.0,0.0,136.55,68.26
100072,2024-01-07,Home & Kitchen,Non-Stick Pan Set,West,Ahmedabad,Small Business,Marketplace,1,125.95,125.95,0.0,0.0,125.95,48.29
100071,2024-01-07,Electronics,Mechanical Keyboard,North,Chandigarh,Consumer,Online,1,23.57,23.57,0.0,0.0,23.57,5.7
100070,2024-01-07,Electronics,Smartwatch,South,Chennai,Small Business,Online,1,186.09,186.09,0.0,0.0,186.09,51.92
100077,2024-01-07,Home & Kitchen,Blender,West,Mumbai,Enterprise,Retail Store,1,148.82,148.82,0.0,0.0,148.82,50.91
100094,2024-01-08,Sports & Outdoors,Cooler Box,South,Bangalore,Consumer,Marketplace,1,63.31,63.31,0.05,3.17,60.14,16.59
100097,2024-01-08,Apparel,Winter Coat,North,Delhi,Consumer,Online,1,40.21,40.21,0.1,4.02,36.19,17.42
100096,2024-01-08,Apparel,Baseball Cap,East,Bhubaneswar,Consumer,Marketplace,1,124.97,124.97,0.1,12.5,112.47,52.31
100095,2024-01-08,Electronics,Bluetooth Speaker,North,Chandigarh,Small Business,Retail Store,2,24.47,48.94,0.0,0.0,48.94,17.0
100093,2024-01-08,Electronics,USB-C Hub,West,Mumbai,Enterprise,Online,2,73.18,146.36,0.05,7.32,139.04,40.72
100092,2024-01-08,Sports & Outdoors,Water Bottle,South,Hyderabad,Consumer,Online,2,58.14,116.28,0.05,5.81,110.47,33.71
100091,2024-01-08,Office Supplies,Desk Lamp,East,Bhubaneswar,Small Business,Marketplace,1,55.78,55.78,0.0,0.0,55.78,14.75
100090,2024-01-08,Office Supplies,Whiteboard,South,Chennai,Small Business,Online,2,75.53,151.06,0.0,0.0,151.06,39.39
100089,2024-01-08,Sports & Outdoors,Fitness Tracker,West,Pune,Consumer,Online,1,226.28,226.28,0.0,0.0,226.28,74.85
100088,2024-01-08,Electronics,Mechanical Keyboard,East,Guwahati,Consumer,Online,1,54.33,54.33,0.0,0.0,54.33,15.92
100087,2024-01-08,Home & Kitchen,Cutting Board,West,Ahmedabad,Enterprise,Marketplace,3,123.37,370.11,0.0,0.0,370.11,116.67
100113,2024-01-09,Electronics,Mechanical Keyboard,East,Guwahati,Consumer,Marketplace,1,216.05,216.05,0.15,32.41,183.64,49.73
100112,2024-01-09,Sports & Outdoors,Camping Tent,South,Chennai,Consumer,Marketplace,1,171.71,171.71,0.1,17.17,154.54,45.25
100111,2024-01-09,Home & Kitchen,Knife Set,East,Bhubaneswar,Enterprise,Online,2,56.4,112.8,0.0,0.0,112.8,39.16
100110,2024-01-09,Apparel,Baseball Cap,South,Chennai,Consumer,Retail Store,1,79.05,79.05,0.0,0.0,79.05,39.28
100109,2024-01-09,Apparel,Yoga Pants,West,Pune,Consumer,Online,1,70.96,70.96,0.0,0.0,70.96,38.22
100108,2024-01-09,Home & Kitchen,Non-Stick Pan Set,North,Lucknow,Consumer,Marketplace,2,151.59,303.18,0.0,0.0,303.18,99.41
100107,2024-01-09,Apparel,Baseball Cap,East,Kolkata,Consumer,Online,4,61.8,247.2,0.05,12.36,234.84,107.68
100106,2024-01-09,Electronics,Power Bank,South,Bangalore,Small Business,Marketplace,1,62.41,62.41,0.0,0.0,62.41,18.6
100104,2024-01-09,Office Supplies,Desk Organizer,North,Lucknow,Consumer,Marketplace,1,57.53,57.53,0.05,2.88,54.65,13.93
100103,2024-01-09,Home & Kitchen,Electric Kettle,West,Ahmedabad,Small Business,Online,1,137.8,137.8,0.05,6.89,130.91,54.72
100102,2024-01-09,Apparel,Sunglasses,East,Bhubaneswar,Consumer,Online,1,126.43,126.43,0.1,12.64,113.79,56.75
100101,2024-01-09,Office Supplies,Label Maker,East,Guwahati,Consumer,Online,1,73.91,73.91,0.0,0.0,73.91,27.97
100100,2024-01-09,Apparel,Wool Sweater,West,Pune,Small Business,Retail Store,1,96.12,96.12,0.05,4.81,91.31,50.0
100099,2024-01-09,Office Supplies,Whiteboard,East,Kolkata,Consumer,Online,1,24.68,24.68,0.0,0.0,24.68,9.12
100098,2024-01-09,Sports & Outdoors,Jump Rope,East,Kolkata,Enterprise,Retail Store,1,109.74,109.74,0.15,16.46,93.28,23.47
100105,2024-01-09,Home & Kitchen,Vacuum Cleaner,North,Delhi,Consumer,Marketplace,2,49.86,99.72,0.0,0.0,99.72,31.63
100118,2024-01-10,Electronics,Bluetooth Speaker,West,Mumbai,Consumer,Online,1,168.55,168.55,0.0,0.0,168.55,31.83
100117,2024-01-10,Sports & Outdoors,Cooler Box,North,Chandigarh,Consumer,Online,1,238.09,238.09,0.0,0.0,238.09,70.45
100116,2024-01-10,Apparel,Wool Sweater,East,Bhubaneswar,Enterprise,Marketplace,1,51.14,51.14,0.0,0.0,51.14,25.68
100115,2024-01-10,Apparel,Wool Sweater,West,Mumbai,Consumer,Marketplace,1,31.99,31.99,0.0,0.0,31.99,12.86
100114,2024-01-10,Office Supplies,Stapler,East,Kolkata,Small Business,Retail Store,3,60.68,182.04,0.0,0.0,182.04,39.46
100131,2024-01-11,Office Supplies,Ballpoint Pens (Box),West,Pune,Consumer,Retail Store,1,70.39,70.39,0.1,7.04,63.35,18.56
100130,2024-01-11,Electronics,Power Bank,West,Ahmedabad,Consumer,Retail Store,1,104.27,104.27,0.0,0.0,104.27,31.78
100129,2024-01-11,Electronics,Webcam HD,East,Guwahati,Small Business,Online,1,103.87,103.87,0.0,0.0,103.87,25.09
100127,2024-01-11,Electronics,Smartwatch,West,Mumbai,Small Business,Online,2,86.18,172.36,0.15,25.85,146.51,37.04
100126,2024-01-11,Sports & Outdoors,Jump Rope,North,Lucknow,Enterprise,Retail Store,2,79.59,159.18,0.2,31.84,127.34,43.7
100125,2024-01-11,Office Supplies,Desk Lamp,North,Lucknow,Consumer,Marketplace,1,63.08,63.08,0.0,0.0,63.08,20.53
100128,2024-01-11,Office Supplies,Printer Paper,East,Bhubaneswar,Enterprise,Retail Store,1,59.34,59.34,0.0,0.0,59.34,12.02
100123,2024-01-11,Home & Kitchen,Cutting Board,West,Ahmedabad,Consumer,Online,4,28.38,113.52,0.0,0.0,113.52,28.96
100122,2024-01-11,Sports & Outdoors,Resistance Bands,North,Delhi,Consumer,Marketplace,1,68.52,68.52,0.0,0.0,68.52,19.62
100121,2024-01-11,Electronics,Mechanical Keyboard,South,Chennai,Enterprise,Marketplace,1,112.08,112.08,0.0,0.0,112.08,22.35
100120,2024-01-11,Home & Kitchen,Storage Containers,South,Bangalore,Enterprise,Retail Store,2,43.89,87.78,0.1,8.78,79.0,20.07
100119,2024-01-11,Sports & Outdoors,Dumbbell Set,North,Delhi,Small Business,Online,1,22.74,22.74,0.05,1.14,21.6,8.47
100124,2024-01-11,Sports & Outdoors,Water Bottle,South,Bangalore,Small Business,Online,3,227.56,682.68,0.1,68.27,614.41,176.68
100141,2024-01-12,Sports & Outdoors,Resistance Bands,South,Bangalore,Small Business,Online,1,116.71,116.71,0.0,0.0,116.71,32.12
100147,2024-01-12,Electronics,Wireless Earbuds,East,Bhubaneswar,Small Business,Retail Store,1,132.68,132.68,0.0,0.0,132.68,34.47
100146,2024-01-12,Home & Kitchen,Vacuum Cleaner,East,Kolkata,Small Business,Marketplace,1,128.56,128.56,0.0,0.0,128.56,35.39
100145,2024-01-12,Sports & Outdoors,Hiking Backpack,North,Lucknow,Consumer,Retail Store,1,136.33,136.33,0.0,0.0,136.33,36.72
100144,2024-01-12,Home & Kitchen,Blender,West,Mumbai,Consumer,Online,1,60.36,60.36,0.0,0.0,60.36,19.45
100143,2024-01-12,Home & Kitchen,Non-Stick Pan Set,West,Mumbai,Consumer,Online,1,135.56,135.56,0.0,0.0,135.56,41.39
100142,2024-01-12,Sports & Outdoors,Bike Helmet,South,Bangalore,Consumer,Online,1,52.99,52.99,0.0,0.0,52.99,12.8
100140,2024-01-12,Office Supplies,Whiteboard,West,Pune,Consumer,Retail Store,1,49.19,49.19,0.0,0.0,49.19,14.02
100138,2024-01-12,Sports & Outdoors,Hiking Backpack,North,Chandigarh,Consumer,Online,1,125.76,125.76,0.2,25.15,100.61,36.49
100137,2024-01-12,Apparel,Baseball Cap,East,Guwahati,Consumer,Online,1,72.49,72.49,0.15,10.87,61.62,30.91
100136,2024-01-12,Electronics,Wireless Earbuds,South,Hyderabad,Small Business,Marketplace,1,120.91,120.91,0.0,0.0,120.91,25.69
100135,2024-01-12,Apparel,Running Shoes,West,Ahmedabad,Consumer,Retail Store,2,113.31,226.62,0.0,0.0,226.62,94.74
100134,2024-01-12,Electronics,Bluetooth Speaker,East,Kolkata,Consumer,Online,1,116.33,116.33,0.0,0.0,116.33,27.37
100133,2024-01-12,Sports & Outdoors,Cooler Box,East,Bhubaneswar,Consumer,Online,2,119.39,238.78,0.0,0.0,238.78,78.76
100132,2024-01-12,Home & Kitchen,Storage Containers,East,Kolkata,Small Business,Retail Store,1,151.22,151.22,0.0,0.0,151.22,40.43
100139,2024-01-12,Home & Kitchen,Knife Set,West,Pune,Consumer,Online,1,78.75,78.75,0.0,0.0,78.75,23.52
100152,2024-01-13,Apparel,Yoga Pants,East,Bhubaneswar,Consumer,Online,1,67.47,67.47,0.0,0.0,67.47,29.59
100156,2024-01-13,Sports & Outdoors,Resistance Bands,South,Chennai,Consumer,Online,1,150.89,150.89,0.0,0.0,150.89,41.11
100155,2024-01-13,Home & Kitchen,Coffee Maker,East,Bhubaneswar,Consumer,Retail Store,1,103.84,103.84,0.0,0.0,103.84,29.21
100154,2024-01-13,Sports & Outdoors,Yoga Mat,South,Bangalore,Small Business,Online,1,57.49,57.49,0.0,0.0,57.49,19.48
100153,2024-01-13,Office Supplies,Stapler,North,Delhi,Consumer,Marketplace,1,57.03,57.03,0.0,0.0,57.03,18.36
100149,2024-01-13,Electronics,Phone Charger,North,Delhi,Consumer,Online,1,97.15,97.15,0.05,4.86,92.29,17.77
100150,2024-01-13,Electronics,Power Bank,North,Delhi,Consumer,Online,2,181.28,362.56,0.1,36.26,326.3,111.38
100148,2024-01-13,Home & Kitchen,Coffee Maker,East,Kolkata,Small Business,Online,1,174.13,174.13,0.0,0.0,174.13,52.33
100151,2024-01-13,Electronics,Gaming Mouse,South,Hyderabad,Consumer,Online,1,129.4,129.4,0.0,0.0,129.4,32.45
100166,2024-01-14,Office Supplies,Sticky Notes Pack,South,Hyderabad,Consumer,Online,1,59.68,59.68,0.0,0.0,59.68,22.87
100167,2024-01-14,Apparel,Backpack,North,Chandigarh,Consumer,Online,1,91.79,91.79,0.0,0.0,91.79,41.15
100162,2024-01-14,Office Supplies,Printer Paper,North,Chandigarh,Consumer,Retail Store,2,49.98,99.96,0.0,0.0,99.96,28.74
100169,2024-01-14,Apparel,Women's Hoodie,East,Guwahati,Small Business,Retail Store,1,62.34,62.34,0.0,0.0,62.34,28.0
100170,2024-01-14,Electronics,Smartwatch,West,Mumbai,Consumer,Marketplace,1,108.24,108.24,0.0,0.0,108.24,25.27
100168,2024-01-14,Apparel,Running Shoes,North,Delhi,Consumer,Marketplace,1,61.9,61.9,0.2,12.38,49.52,20.51
100165,2024-01-14,Home & Kitchen,Toaster,South,Chennai,Consumer,Retail Store,1,107.96,107.96,0.0,0.0,107.96,43.47
100160,2024-01-14,Electronics,Phone Charger,West,Pune,Consumer,Marketplace,1,27.23,27.23,0.0,0.0,27.23,8.57
100163,2024-01-14,Sports & Outdoors,Fitness Tracker,North,Delhi,Consumer,Online,2,84.65,169.3,0.0,0.0,169.3,44.88
100161,2024-01-14,Electronics,Gaming Mouse,East,Bhubaneswar,Enterprise,Marketplace,1,111.08,111.08,0.0,0.0,111.08,25.74
100159,2024-01-14,Electronics,Gaming Mouse,West,Mumbai,Consumer,Marketplace,1,126.64,126.64,0.0,0.0,126.64,36.74
100158,2024-01-14,Home & Kitchen,Knife Set,South,Chennai,Consumer,Online,1,167.06,167.06,0.0,0.0,167.06,68.09
100157,2024-01-14,Sports & Outdoors,Hiking Backpack,North,Lucknow,Small Business,Online,1,74.98,74.98,0.2,15.0,59.98,22.48
100164,2024-01-14,Sports & Outdoors,Water Bottle,North,Lucknow,Consumer,Online,2,209.97,419.94,0.0,0.0,419.94,135.87
100171,2024-01-15,Sports & Outdoors,Jump Rope,North,Lucknow,Consumer,Retail Store,3,104.62,313.86,0.0,0.0,313.86,98.12
100172,2024-01-15,Office Supplies,Ballpoint Pens (Box),West,Ahmedabad,Consumer,Retail Store,1,43.19,43.19,0.1,4.32,38.87,8.2
100173,2024-01-15,Sports & Outdoors,Cooler Box,North,Delhi,Consumer,Marketplace,1,127.63,127.63,0.0,0.0,127.63,38.23
100174,2024-01-15,Home & Kitchen,Toaster,East,Guwahati,Consumer,Marketplace,1,103.37,103.37,0.0,0.0,103.37,45.02
100175,2024-01-15,Office Supplies,Desk Organizer,South,Hyderabad,Consumer,Online,1,13.56,13.56,0.05,0.68,12.88,5.08
100176,2024-01-15,Home & Kitchen,Air Fryer,East,Kolkata,Small Business,Online,1,62.83,62.83,0.0,0.0,62.83,15.88
100177,2024-01-15,Home & Kitchen,Knife Set,East,Kolkata,Consumer,Online,1,178.68,178.68,0.1,17.87,160.81,69.56
100188,2024-01-16,Sports & Outdoors,Camping Tent,South,Chennai,Consumer,Retail Store,1,199.34,199.34,0.0,0.0,199.34,67.25
100190,2024-01-16,Apparel,Sunglasses,North,Lucknow,Small Business,Online,1,21.16,21.16,0.15,3.17,17.99,9.57
100187,2024-01-16,Sports & Outdoors,Fitness Tracker,East,Bhubaneswar,Consumer,Marketplace,1,121.41,121.41,0.0,0.0,121.41,46.67
100192,2024-01-16,Office Supplies,Notebook Set,East,Guwahati,Consumer,Online,3,70.99,212.97,0.15,31.95,181.02,45.8
100193,2024-01-16,Electronics,USB-C Hub,East,Bhubaneswar,Consumer,Marketplace,4,189.61,758.44,0.1,75.84,682.6,221.78
100191,2024-01-16,Electronics,Power Bank,South,Bangalore,Consumer,Retail Store,1,99.05,99.05,0.0,0.0,99.05,28.85
100186,2024-01-16,Apparel,Yoga Pants,North,Chandigarh,Consumer,Marketplace,1,38.83,38.83,0.0,0.0,38.83,19.61
100189,2024-01-16,Electronics,Smartwatch,West,Mumbai,Enterprise,Retail Store,1,40.88,40.88,0.1,4.09,36.79,12.66
100184,2024-01-16,Office Supplies,Ballpoint Pens (Box),East,Bhubaneswar,Consumer,Retail Store,2,45.14,90.28,0.0,0.0,90.28,24.06
100178,2024-01-16,Sports & Outdoors,Dumbbell Set,West,Ahmedabad,Small Business,Online,1,209.04,209.04,0.15,31.36,177.68,55.03
100179,2024-01-16,Sports & Outdoors,Hiking Backpack,East,Kolkata,Small Business,Online,1,72.72,72.72,0.05,3.64,69.08,25.58
100180,2024-01-16,Apparel,Wool Sweater,South,Bangalore,Consumer,Online,2,80.77,161.54,0.05,8.08,153.46,65.48
100185,2024-01-16,Apparel,Men's T-Shirt,South,Hyderabad,Small Business,Online,2,122.79,245.58,0.0,0.0,245.58,134.12
100182,2024-01-16,Home & Kitchen,Toaster,West,Ahmedabad,Consumer,Marketplace,2,149.49,298.98,0.1,29.9,269.08,82.49
100183,2024-01-16,Office Supplies,Desk Lamp,South,Chennai,Consumer,Online,1,89.9,89.9,0.1,8.99,80.91,24.11
100181,2024-01-16,Home & Kitchen,Toaster,West,Ahmedabad,Consumer,Retail Store,1,141.35,141.35,0.05,7.07,134.28,56.52
100202,2024-01-17,Home & Kitchen,Electric Kettle,East,Bhubaneswar,Consumer,Retail Store,1,123.36,123.36,0.0,0.0,123.36,53.02
100208,2024-01-17,Electronics,Wireless Earbuds,North,Lucknow,Consumer,Online,1,131.02,131.02,0.0,0.0,131.02,38.86
100207,2024-01-17,Home & Kitchen,Vacuum Cleaner,East,Bhubaneswar,Consumer,Online,2,13.73,27.46,0.15,4.12,23.34,9.71
100206,2024-01-17,Home & Kitchen,Storage Containers,West,Ahmedabad,Consumer,Online,1,74.83,74.83,0.0,0.0,74.83,24.08
100205,2024-01-17,Home & Kitchen,Cutting Board,East,Kolkata,Consumer,Online,2,43.87,87.74,0.0,0.0,87.74,28.69
100204,2024-01-17,Home & Kitchen,Cutting Board,West,Pune,Consumer,Online,1,118.62,118.62,0.0,0.0,118.62,39.72
100203,2024-01-17,Sports & Outdoors,Water Bottle,West,Ahmedabad,Consumer,Online,1,139.37,139.37,0.1,13.94,125.43,29.26
